studyid,arm,treatment,class,data_type,n,mean_change,sd_change,approx_smd
Boulenger 2006,1,41,SSRIs,BF,228,-95.6,5.632946712496982,-16.971578976223313
Boulenger 2006,2,43,SSRIs,BF,223,-92.7,5.686539710966275,-16.30165350313682
Moore 2005,1,40,SSRIs,BF,142,-91.7,6.024330470286226,-15.221608517708555
Moore 2005,2,41,SSRIs,BF,138,-95,6.263439989485686,-15.167384082784322
Schweizer 1991,3,52,SNRIs,BF,15,-82.3,5.796133226681948,-14.19912151451933
Guelfi 2001,1,6,Mirtazapine,BF,78,-89.30000000000001,6.575853903457053,-13.57998539977497
Versiani 2005,1,6,Mirtazapine,BF,145,-94.3,7.034870509062529,-13.404653273790888
Baldwin 2006b,2,43,SSRIs,BF,158,-77.71,5.852088657900742,-13.279019601845212
Schweizer 1991,4,52,SNRIs,BF,14,-85.4,6.44920529031322,-13.241941627795875
Doogan 1994,2,44,SSRIs,BF,83,-71.19999999999999,5.477264383793169,-12.999189926028706
Baldwin 2006b,1,41,SSRIs,BF,165,-76.36,5.908787379126166,-12.92312535559414
Versiani 2005,2,42,SSRIs,BF,147,-90.9,7.034870509062529,-12.92134658099249
Schweizer 1991,1,1,Placebo,BF,16,-68.2,5.2825033865051685,-12.910545438404382
Navarro 2001,2,50,TCAs,BF,29,-73.53,5.840837420778737,-12.588948245403571
Guelfi 2001,2,52,SNRIs,BF,79,-85.7,6.835320779985285,-12.537816842618541
Cutler 2009,2,51,SNRIs,BF,141,-75.44,6.083134085890865,-12.40150207686108
Sechter 1999,2,44,SSRIs,BF,116,-64.6,5.236273449345547,-12.337018038672902
Navarro 2001,1,40,SSRIs,BF,29,-71.83,5.863369624884997,-12.250634804796032
Doogan 1994,1,1,Placebo,BF,90,-66.7,5.477264383793169,-12.17761191104094
Wang 2014c,2,41,SSRIs,BF,152,-80.72999999999999,6.7697195831081345,-11.925161597747449
Wang 2014c,1,1,Placebo,BF,153,-78.81,6.639971794448689,-11.869026321149233
Montgomery 2004,1,41,SSRIs,BF,146,-75.56,6.386706041854399,-11.83082476394372
Tylee 1997,1,42,SSRIs,BF,170,-75.5,6.512259902787566,-11.59351763090449
Montgomery 2004,2,52,SNRIs,BF,142,-76.93,6.639971794448689,-11.58589258832649
Olie 1997,2,44,SSRIs,BF,129,-70.1,6.1425994783919995,-11.412106592102058
Sechter 1999,1,42,SSRIs,BF,118,-64.4,5.686539710966275,-11.324989057195374
Cutler 2009,1,1,Placebo,BF,152,-71.78,6.386706041854399,-11.23897037527634
