studyid,arm,treatment,class,data_type,n,mean_change,sd_change,approx_smd
003-008 (FDA),1,1,Placebo,CFB,28,-9.6,7.7,-1.2467532467532467
003-008 (FDA),2,6,Mirtazapine,CFB,30,-7.6,7.7,-0.9870129870129869
003-008 (FDA),3,6,Mirtazapine,CFB,28,-7.3,7.7,-0.948051948051948
29060 07 001,1,1,Placebo,CFB,11,-10.91,9.38604815670578,-1.1623635227361844
29060 07 001,2,43,SSRIs,CFB,12,-13.08,10.2190997646564,-1.2799561900000487
29060 07 001,3,45,TCAs,CFB,13,-13.31,11.1050979284291,-1.1985486382723687
29060/299,1,43,SSRIs,CFB,102,-14.3,9.35,-1.5294117647058825
29060/299,2,45,TCAs,CFB,100,-14.39,8.39,-1.7151370679380213
Aguglia 1993,1,42,SSRIs,BF,40,-15.9,8.326463835266445,-1.9095741379018678
Aguglia 1993,2,44,SSRIs,BF,48,-17.299999999999997,9.328987083279728,-1.8544349826581554
Ai 2018,1,43,SSRIs,BF,50,-18.57,5.3301125691677465,-3.48397895148011
Ai 2018,2,97,Acupuncture + AD,BF,50,-21.71,4.709278076308512,-4.610048429549937
Akhondzadeh 2003,1,42,SSRIs,CFB,17,-16.82,11.08,-1.5180505415162455
Akhondzadeh 2003,2,50,TCAs,CFB,20,-20.3,8.12,-2.5000000000000004
Albornoz 2011,1,3,No treatment,BF,12,-3.84,7.161340656608929,-0.536212447379697
Albornoz 2011,2,30,Music therapy group,BF,12,-7.83,4.617889128162346,-1.6955799030012417
Alexopoulos 2003b,1,15,Problem solving individual,BF,12,-16.81,5.418662196520466,-3.1022417324324727
Alexopoulos 2003b,2,17,Counselling individual,BF,13,-11.43,5.93854359249808,-1.9247143381146603
Allard 2004,1,40,SSRIs,BF,75,-17.4,7.209022125087426,-2.4136421969698123
Allard 2004,2,52,SNRIs,BF,73,-18,6.85054742338158,-2.627527245277401
Allen 2006,1,4,Waitlist,BIN,52,-7.443281745017741,4.2,-1.7722099392899382
Allen 2006,2,56,Sham acupuncture,BIN,52,-9.279487685584922,5,-1.8558975371169844
Allen 2006,3,59,Acupuncture,BIN,53,-7.138184728718421,4.8,-1.4871218184830044
Alves 1999,1,42,SSRIs,BIN,47,-14.395156621793028,3.9,-3.691065800459751
Alves 1999,2,52,SNRIs,BIN,40,-15.953666425319351,5.2,-3.0680127740998753
Amsterdam 1986,1,1,Placebo,BF,54,-5.699999999999999,7.463718912177763,-0.7636943549280655
Amsterdam 1986,2,45,TCAs,BF,55,-12.4,7.439764781227965,-1.6667193607098594
Andreescu 2011,1,55,Sham acupuncture,CFB,22,-7.9,7.4,-1.0675675675675675
Andreescu 2011,2,57,Acupuncture,CFB,23,-7.4,6.2,-1.1935483870967742
Andreoli 2002/Dubini 1997/Massana 1998_study 1,1,1,Placebo,CFB,128,-8.6,4.47,-1.9239373601789709
Andreoli 2002/Dubini 1997/Massana 1998_study 1,2,42,SSRIs,CFB,127,-13.3,4.6,-2.8913043478260874
Arean 1993,1,4,Waitlist,BF,20,-0.3999999999999986,5.07444578254611,-0.07882634225314318
Arean 1993,2,16,Problem solving group,BF,19,-16.4,6.02245796996542,-2.723140631580724
Arean 2010,1,15,Problem solving individual,BF,110,-11.27,7.148251534466313,-1.5766093212668986
Arean 2010,2,17,Counselling individual,BF,111,-8.62,6.550572494064927,-1.3159155185001088
Ashouri 2013,1,53,Any AD,BF,13,-8.749999999999996,5.6707230579530155,-1.5430131061908214
Ashouri 2013,2,69,Cognitive and cognitive behavioural therapies individual + AD,BF,10,-16.099999999999998,5.117069473829723,-3.1463321110530904
Ashouri 2013,3,75,Cognitive and cognitive behavioural therapies individual + AD,BF,10,-21,3.5328883367578996,-5.944144846443551
Badyal 2005,1,51,SNRIs,BIN,13,-16.93019218068212,2.5,-6.772076872272848
Badyal 2005,2,52,SNRIs,BIN,13,-17.558672962613908,2.25,-7.803854650050626
Bakish 1992b,1,1,Placebo,BIN,56,-10.216661369789971,3.56,-2.8698486993792054
Bakish 1992b,2,45,TCAs,BIN,59,-12.064806166068209,3.43,-3.517436200019886
