class,smd,lower,upper,data_subset,n_studies,n_arms
Acupuncture + AD,-3.031187971387288,-4.129130275896674,-1.9332456668779014,CFB_only,130,284
Any AD,1.003165727199204,-0.7094411909176306,2.7157726453160387,CFB_only,130,284
Cognitive and cognitive behavioural therapies individual,-0.9608404074482548,-1.955872255703103,0.03419144080659342,CFB_only,130,284
Cognitive and cognitive behavioural therapies individual + AD,-0.9154592750087636,-1.6822817973410427,-0.14863675267648446,CFB_only,130,284
Exercise group,-0.4707195783415101,-1.3761222664911839,0.4346831098081635,CFB_only,130,284
Exercise individual,-0.4993388589575525,-1.2305689061531555,0.23189118823805055,CFB_only,130,284
Exercise individual + AD,-0.8637128948402424,-1.9692677021170828,0.24184191243659803,CFB_only,130,284
Interpersonal psychotherapy (IPT) individual + AD,1.3169861460408345,-0.7154292501524839,3.349401542234153,CFB_only,130,284
Light therapy,-0.9252895209718082,-1.8894083893457,0.03882934740208388,CFB_only,130,284
Light therapy + AD,-1.3112016392177241,-2.2868947613607578,-0.33550851707469065,CFB_only,130,284
Mirtazapine,-0.6744567708669393,-1.0246784235579216,-0.3242351181759571,CFB_only,130,284
No treatment,-0.4883736955917639,-1.475224835170196,0.49847744398666816,CFB_only,130,284
Placebo,0,0,0,CFB_only,130,284
Psychoeducation group + AD,1.4425143135774818,-0.6004570150114907,3.4854856421664544,CFB_only,130,284
Self-help with support,-0.8207577110708755,-1.9840936742280457,0.3425782520862948,CFB_only,130,284
Short-term psychodynamic psychotherapies individual,-0.545863032673136,-1.6854142139635082,0.5936881486172363,CFB_only,130,284
SNRIs,-0.6140727486135371,-0.8067621720429251,-0.4213833251841491,CFB_only,130,284
SSRIs,-0.5814842513850031,-0.7056545380841818,-0.4573139646858245,CFB_only,130,284
TAU,-0.6425992170381298,-1.7259579474344968,0.44075951335823715,CFB_only,130,284
TCAs,-0.5338897951098849,-0.7291319174129153,-0.3386476728068545,CFB_only,130,284
Trazodone,-0.4312127929218157,-0.8072309136966839,-0.05519467214694751,CFB_only,130,284
Waitlist,0.08470731131748055,-1.3521105420305124,1.5215251646654735,CFB_only,130,284
Acupuncture,-1.2999106641099973,-1.8691215608773715,-0.7306997673426233,CFB_plus_BF,283,616
Acupuncture + AD,-1.7677619795616764,-2.263509676043813,-1.27201428307954,CFB_plus_BF,283,616
Any AD,-0.6560023932378565,-1.168314171803138,-0.14369061467257505,CFB_plus_BF,283,616
Any psychotherapy,0.1797471734741638,-0.8693545572712826,1.2288489042196102,CFB_plus_BF,283,616
Attention placebo,0.7122346063798517,-0.2824334600134125,1.7069026727731158,CFB_plus_BF,283,616
Behavioural therapies individual,0.3349107980581838,-0.37392768145057886,1.0437492775669464,CFB_plus_BF,283,616
Behavioural therapies individual + AD,-0.735365907993546,-1.7906924525018937,0.3199606365148018,CFB_plus_BF,283,616
Cognitive and cognitive behavioural therapies group,-0.954611904913917,-1.6176095650269513,-0.2916142448008828,CFB_plus_BF,283,616
Cognitive and cognitive behavioural therapies group + AD,-1.3198550943248737,-2.3227117238063615,-0.3169984648433857,CFB_plus_BF,283,616
Cognitive and cognitive behavioural therapies individual,-0.8086136170268694,-1.1347269686031634,-0.4825002654505754,CFB_plus_BF,283,616
Cognitive and cognitive behavioural therapies individual + AD,-1.32141787071635,-1.852220347709217,-0.7906153937234829,CFB_plus_BF,283,616
Cognitive and cognitive behavioural therapies individual + placebo,-1.2939287717018657,-2.159260742294095,-0.4285968011096367,CFB_plus_BF,283,616
Counselling individual,-0.5996763351299963,-1.2034906404697963,0.004137970209803776,CFB_plus_BF,283,616
Counselling individual + AD,-0.19307145344032683,-1.4921150885758032,1.1059721816951495,CFB_plus_BF,283,616
Counselling individual + placebo,0.1506980539738887,-1.6355157990299813,1.9369119069777587,CFB_plus_BF,283,616
Exercise group,-0.8802982466209683,-1.5825573660528083,-0.1780391271891284,CFB_plus_BF,283,616
Exercise group + AD,-3.4641605673427973,-4.683225783053581,-2.245095351632014,CFB_plus_BF,283,616
Exercise individual,-0.7400526042523965,-1.4262855186070293,-0.053819689897763645,CFB_plus_BF,283,616
