.trtb,.trta,parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat,model
Acupuncture,Placebo,d[Acupuncture],-5.7943769763684525,3.085145756620494,-12.077880740612159,-7.871429936208179,-5.773118788568125,-3.7120121583367975,0.16157370470096769,2488.322179593158,2988.1707505924583,1.0012951840213642,A_all_M0_base
Acupuncture + AD,Placebo,d[Acupuncture + AD],-11.64398878554562,3.2186455204467506,-17.834991069703133,-13.8606977982901,-11.673309236456294,-9.477729518438577,-5.101901065935221,2943.0951304830887,2971.127723140194,1.000568850632085,A_all_M0_base
Any AD,Placebo,d[Any AD],-0.2863294680672834,2.5733351981898607,-5.307233908596531,-2.0083888732558544,-0.3326395005779498,1.4093632868054744,4.961043266503515,2534.3752904766525,2807.37201784247,1.0006755229419328,A_all_M0_base
Any psychotherapy,Placebo,d[Any psychotherapy],1.2710695752516639,5.489772014983629,-9.282729857493006,-2.3223701272693242,1.1998190818771404,4.90318878305624,12.080118112828135,4533.544618922623,2823.2022766221958,1.0003269634544534,A_all_M0_base
Attention placebo,Placebo,d[Attention placebo],5.510965400178437,5.430016960467779,-5.197741801645445,1.934091989505762,5.564048833798421,9.0787869014381,16.544083328080845,4499.733396404446,3297.972803558646,1.0010039151197752,A_all_M0_base
Behavioural therapies individual,Placebo,d[Behavioural therapies individual],3.093975997589247,4.113109598419289,-4.787229649762233,0.3066683780971325,3.113927181253435,5.828456007937348,11.032324444987527,3539.24923629279,3172.32007671174,1.0004264703789014,A_all_M0_base
Behavioural therapies individual + AD,Placebo,d[Behavioural therapies individual + AD],-4.497845525113444,5.169099975795755,-14.625675478908953,-7.990917928504248,-4.4389661645977885,-0.991991577044129,5.5549383287718355,4962.17221928602,3238.717063139718,1.0003226751506236,A_all_M0_base
Cognitive and cognitive behavioural therapies group,Placebo,d[Cognitive and cognitive behavioural therapies group],-5.093509045640405,3.311660625587734,-11.376555977850606,-7.402475705180093,-5.144709996317157,-2.8733661330267113,1.4947127857489027,2917.8883186411576,2938.7637299546554,1.0003096005809156,A_all_M0_base
Cognitive and cognitive behavioural therapies group + AD,Placebo,d[Cognitive and cognitive behavioural therapies group + AD],-2.3812436029084285,5.344786231519361,-13.12393904787718,-6.028891449662503,-2.289458895840469,1.1460744411336548,8.115763382448526,4446.193190274433,3142.6538459005087,0.9995201302149602,A_all_M0_base
Cognitive and cognitive behavioural therapies individual,Placebo,d[Cognitive and cognitive behavioural therapies individual],-5.077116964011747,1.8572743438242374,-8.724929305501135,-6.30246351335174,-5.08282642397624,-3.8562568888774873,-1.39763905712427,1735.8313139761203,2628.904539768083,1.0007031955254297,A_all_M0_base
Cognitive and cognitive behavioural therapies individual + AD,Placebo,d[Cognitive and cognitive behavioural therapies individual + AD],-8.805482151234719,3.1522669238303016,-15.055682370443487,-10.888254243526042,-8.822685976102033,-6.710092642696724,-2.7430274180877596,2149.436061520021,2342.653485325521,1.0007116263518296,A_all_M0_base
Cognitive and cognitive behavioural therapies individual + placebo,Placebo,d[Cognitive and cognitive behavioural therapies individual + placebo],-6.637923432653074,4.776173284275552,-16.201540759105363,-9.919189939007444,-6.572383376507809,-3.404667809665826,2.5561723999264228,3817.939688039607,2873.182112336405,1.0025423255102481,A_all_M0_base
Counselling individual,Placebo,d[Counselling individual],-2.805527619909029,3.650977145637809,-10.089952260338698,-5.336217431151959,-2.708189550438255,-0.3466861795609407,4.390913073469543,2754.255886441311,2744.103944053003,1.0010274107266366,A_all_M0_base
Counselling individual + AD,Placebo,d[Counselling individual + AD],0.9082049897024663,5.523620646184576,-10.085219973646378,-2.7000653356913604,0.9060488906545,4.5850354007918375,11.738913052473007,4359.168267704049,3298.193136757544,1.000666347085951,A_all_M0_base
Counselling individual + placebo,Placebo,d[Counselling individual + placebo],2.808274030775727,7.309676502873088,-11.239684239575563,-2.0060912949224114,2.6220234213699176,7.626066228785566,16.956598005552785,5897.66635772473,3063.0624708975233,1.0000853800004248,A_all_M0_base
Exercise group,Placebo,d[Exercise group],-4.13783247554761,4.145947699653954,-12.1113928803111,-6.939317487730739,-4.142881475389942,-1.360516055294591,4.149170015474236,3898.4487756595436,3465.4431649147077,1.0007934138341215,A_all_M0_base
Exercise group + AD,Placebo,d[Exercise group + AD],-12.509977262914838,6.201056387265757,-24.412769650117944,-16.830089212271957,-12.55607705435165,-8.284235349914132,-0.47055111170743735,6347.5715628457965,3012.493210203184,1.000016412478312,A_all_M0_base
Exercise individual,Placebo,d[Exercise individual],-3.4494377325744954,4.003189194512716,-11.26273115060813,-6.121437603781376,-3.4104980815052386,-0.7330813456017525,4.228720916262326,3358.1038061180457,3002.910785083498,1.0011043342624726,A_all_M0_base
Exercise individual + AD,Placebo,d[Exercise individual + AD],-8.560002257281692,5.0763724682784925,-18.37318835999655,-11.997878670315256,-8.630034781996418,-5.125290520293979,1.347029531618504,4234.455758082381,3126.073857840371,1.00238551345664,A_all_M0_base
Interpersonal psychotherapy (IPT) individual,Placebo,d[Interpersonal psychotherapy (IPT) individual],-2.1609731659681626,3.8687020607344333,-9.604012435968277,-4.791876224083471,-2.2058265944860014,0.46736405755316096,5.4198522384787005,2648.941655275901,2743.1591580534496,1.000353942869307,A_all_M0_base
Interpersonal psychotherapy (IPT) individual + AD,Placebo,d[Interpersonal psychotherapy (IPT) individual + AD],-4.113119681696086,4.240778070536859,-12.293339698986227,-7.090861554905675,-4.128796279810979,-1.2643186320902458,4.427645857991806,3686.1001332731903,2942.106955632735,1.000332377483805,A_all_M0_base
Interpersonal psychotherapy (IPT) individual + placebo,Placebo,d[Interpersonal psychotherapy (IPT) individual + placebo],-1.9090682388882005,4.851318944595525,-11.23592507929453,-5.213789649637814,-1.946236311086731,1.1684373454142531,7.597808866238875,4916.390863515804,2620.4736841526674,1.0009226367455581,A_all_M0_base
Light therapy,Placebo,d[Light therapy],-4.914442298843668,5.6137368193188015,-15.993753324109067,-8.689768291978892,-4.960307751975862,-1.0492902662568997,6.034328258657722,6086.666055557057,3291.611757790508,1.0012867366579774,A_all_M0_base
Light therapy + AD,Placebo,d[Light therapy + AD],-8.259018061409545,4.8229819938648495,-17.925711351596153,-11.483345274723408,-8.254067945884694,-4.996958347008469,1.1475660275900783,4288.498394245069,2733.6706381249337,1.0010844379668569,A_all_M0_base
Mindfulness or meditation group,Placebo,d[Mindfulness or meditation group],-18.53087044799467,6.740721751241602,-32.04507270099496,-23.02888030808213,-18.4365566215872,-14.04906271310968,-5.57143052410704,6632.706774568127,2911.480224688708,1.000197978501545,A_all_M0_base
Mirtazapine,Placebo,d[Mirtazapine],-6.500939499550067,1.7745380562300683,-9.981339832136419,-7.677777116194432,-6.502877694835059,-5.310324907109952,-2.979853982605578,1173.4623348284786,2002.5000436323705,1.0028332005576526,A_all_M0_base
Music therapy group,Placebo,d[Music therapy group],-1.3546565478219819,6.7956588408127265,-14.500553494451552,-6.018132253142787,-1.396520524042591,3.3698777475838,11.923299869664174,5059.843184336495,3213.6336459296176,0.9997503353155871,A_all_M0_base
No treatment,Placebo,d[No treatment],1.642907704857398,2.6049910579146762,-3.5110825359876014,-0.12384715803974142,1.6270643012783756,3.343046943619978,6.849311662966877,2408.1324720212074,2675.1669623777047,1.0019679790638731,A_all_M0_base
Peer support group,Placebo,d[Peer support group],-2.1166054872779383,6.1439907829858615,-14.030928328029965,-6.222059900528643,-2.1534284247097815,2.0730268364198396,10.00795634883463,5741.921986383534,3291.3704054957384,1.0014790593032559,A_all_M0_base
