.trtb,.trta,parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat,model
Acupuncture,Placebo,d[Acupuncture],-4.5215235013901545,2.0376898476984637,-8.596776747573548,-5.906860712518697,-4.523176672176987,-3.098481391090463,-0.5339554565882589,3393.9593486439317,2973.3082675169667,1.0006854920480812,B_bf_winsor_M0_base
Acupuncture + AD,Placebo,d[Acupuncture + AD],-11.021334729631793,1.9831724771144672,-14.973159825484586,-12.314508498298123,-11.043201863343063,-9.68652334002999,-7.045442830787476,3571.887069678363,2790.3703359243627,1.0010430879531103,B_bf_winsor_M0_base
Any AD,Placebo,d[Any AD],-2.5022649049585404,1.8224490952559345,-5.925019413833663,-3.7727812699383776,-2.527460885531136,-1.2850904432337509,1.2038427357612889,2154.8326017880577,2175.692855853221,1.0021740908436119,B_bf_winsor_M0_base
Any psychotherapy,Placebo,d[Any psychotherapy],1.952566537415671,3.9031823158386714,-5.822033896063591,-0.6266221923993189,1.9042828763059136,4.617562255650611,9.502373657789763,4092.038924914855,3115.7979023403905,1.0014690868161369,B_bf_winsor_M0_base
Attention placebo,Placebo,d[Attention placebo],6.117475790797202,3.8183707931507507,-1.4223990996009546,3.501883173544885,6.122553229057729,8.599596962595362,13.633094407193898,4430.820285302654,3228.176288574588,1.001150410612891,B_bf_winsor_M0_base
Behavioural therapies individual,Placebo,d[Behavioural therapies individual],4.244595597273024,2.65489581631608,-0.9128934959044234,2.4165694858650046,4.277548495495482,6.014960796479073,9.4890767034648391,4055.6805741743888,2910.4174827704846,1.0016402107387856,B_bf_winsor_M0_base
Behavioural therapies individual + AD,Placebo,d[Behavioural therapies individual + AD],-4.843629078983996,3.9718417542938895,-12.553080502667484,-7.612731849218058,-4.827549221894438,-2.1254039759767434,2.6910077526583476,5352.461543080328,3457.532978568322,1.0005195755002396,B_bf_winsor_M0_base
Cognitive and cognitive behavioural therapies group,Placebo,d[Cognitive and cognitive behavioural therapies group],-5.332006776565985,2.260413377886329,-9.760216098773968,-6.851809498617396,-5.327380431433884,-3.8412911001389958,-0.8570257928176952,3414.319354989559,2666.2590939225615,1.0005253109476282,B_bf_winsor_M0_base
Cognitive and cognitive behavioural therapies group + AD,Placebo,d[Cognitive and cognitive behavioural therapies group + AD],-3.8347087203831096,3.608142138984951,-10.961760312769176,-6.264857566239114,-3.8338851263104115,-1.3792224120670664,3.1977277128582484,3386.633763033114,3011.565010797875,1.000845177329201,B_bf_winsor_M0_base
Cognitive and cognitive behavioural therapies individual,Placebo,d[Cognitive and cognitive behavioural therapies individual],-5.0808220478504795,1.1986271873065877,-7.46351065315124,-5.876189765038137,-5.084118542980473,-4.274928222876541,-2.740586304653472,2076.3737155727636,2108.105951126325,1.001152617122909,B_bf_winsor_M0_base
Cognitive and cognitive behavioural therapies individual + AD,Placebo,d[Cognitive and cognitive behavioural therapies individual + AD],-7.875176490249878,2.08617856942236,-11.958615628961491,-9.292005124168151,-7.8776740885208145,-6.479435498866728,-3.736030345253354,3262.8320803422807,2593.4928469751194,1.0003061188696643,B_bf_winsor_M0_base
Cognitive and cognitive behavioural therapies individual + placebo,Placebo,d[Cognitive and cognitive behavioural therapies individual + placebo],-6.555270260673816,3.2205346174576786,-12.660867118381015,-8.825226537242761,-6.6099430715538805,-4.3151354159025495,-0.1948317663005047,4495.444703237743,3282.066772026207,1.000701903121529,B_bf_winsor_M0_base
Counselling individual,Placebo,d[Counselling individual],-3.9617128875426153,2.397680137559471,-8.47344102378129,-5.592476242035103,-4.009139176958424,-2.3541707785180117,0.8610698737169965,2506.502617663035,2008.524964279691,1.0016031041414426,B_bf_winsor_M0_base
Counselling individual + AD,Placebo,d[Counselling individual + AD],-0.05417872348285437,4.359720911304045,-8.594826908588928,-2.9211729522256893,-0.09841270932801108,2.8583955939007435,8.574694653773152,3411.1299255567683,2819.813050222563,1.0006299889139687,B_bf_winsor_M0_base
Counselling individual + placebo,Placebo,d[Counselling individual + placebo],2.956255208618234,5.891570051956737,-8.480252279434023,-0.9498206209911196,3.078813481909572,6.950147318151613,14.452468760040992,4702.3850201001915,3132.1518550762416,1.002193738097941,B_bf_winsor_M0_base
Exercise group,Placebo,d[Exercise group],-5.220583508651741,2.751483739690807,-10.552472711527063,-7.121204789767226,-5.271076473468874,-3.3617804355927454,0.10609862353458603,4448.350313169671,3092.430493102528,1.0000375624027356,B_bf_winsor_M0_base
Exercise group + AD,Placebo,d[Exercise group + AD],-14.863842488417617,4.350995322950083,-23.400117044851765,-17.834024261208494,-14.917308449539185,-11.882378768579622,-6.345360024291552,6191.903144000921,2524.2242747677064,1.002069778734035,B_bf_winsor_M0_base
Exercise individual,Placebo,d[Exercise individual],-4.1107052337032295,2.6217687844208153,-9.24542229552122,-5.876365192706747,-4.14266499944663,-2.370620174848782,1.0587168631673711,3899.9035841169875,2804.151366894046,1.001638036397787,B_bf_winsor_M0_base
Exercise individual + AD,Placebo,d[Exercise individual + AD],-10.900500388252212,3.798357564468019,-18.337733284188264,-13.425337112156125,-10.905748558338647,-8.315657358161799,-3.6036193793964517,5694.614770352232,3314.92093400225,1.0001596546039941,B_bf_winsor_M0_base
Interpersonal psychotherapy (IPT) individual,Placebo,d[Interpersonal psychotherapy (IPT) individual],-2.975309152843917,2.531311560473913,-7.852627395474324,-4.700949585425046,-2.9497969598017297,-1.285811050438336,1.911175490969075,3701.144367162472,2840.3413414019574,1.0015703196388648,B_bf_winsor_M0_base
Interpersonal psychotherapy (IPT) individual + AD,Placebo,d[Interpersonal psychotherapy (IPT) individual + AD],-4.751663132504285,2.9152572012435147,-10.589677483394738,-6.753868192440389,-4.752600958588894,-2.775578440420528,0.9001429740279049,4334.62270721944,2920.048214101988,1.000453414511762,B_bf_winsor_M0_base
Interpersonal psychotherapy (IPT) individual + placebo,Placebo,d[Interpersonal psychotherapy (IPT) individual + placebo],-2.697851350294693,3.4353665947160654,-9.485086214101331,-5.017711811247196,-2.6759384098268493,-0.4684110536572701,3.946961055969821,4661.81487127539,3121.7114796450196,1.0010314541751033,B_bf_winsor_M0_base
Light therapy,Placebo,d[Light therapy],-5.373492090995067,3.8940208827326077,-12.895774568019291,-8.032772309347319,-5.358468260489861,-2.6446981194788926,2.1296359244607337,6512.788237442372,3097.5532021420245,1.0018047877000842,B_bf_winsor_M0_base
Light therapy + AD,Placebo,d[Light therapy + AD],-6.6179795279025235,3.140655635530525,-12.807352847820994,-8.721114901950362,-6.683497545075667,-4.558179014150996,-0.25671548331213045,4986.574506426919,3087.475975300844,1.000512145427195,B_bf_winsor_M0_base
Mindfulness or meditation group,Placebo,d[Mindfulness or meditation group],-21.611045514267673,5.0873227766601135,-31.51257487279808,-25.16738727264811,-21.533791471272416,-18.15061287430725,-11.577493628449075,6191.944548619207,3471.8931198627592,1.0003575822416928,B_bf_winsor_M0_base
Mirtazapine,Placebo,d[Mirtazapine],-5.435270884642612,1.074267370916938,-7.53651038447137,-6.14804337085928,-5.469868848874558,-4.71321079756671,-3.3116240681504143,2701.749558911341,2816.4636266030384,1.0016994499132865,B_bf_winsor_M0_base
Music therapy group,Placebo,d[Music therapy group],-2.876608672146173,4.989353975551389,-12.592623929142995,-6.3129269738016855,-2.9035795557358846,0.4669264605890575,6.826312842754966,5532.804820511591,2619.091986554501,1.0016889651952818,B_bf_winsor_M0_base
No treatment,Placebo,d[No treatment],-0.13734457005688352,1.714315492709262,-3.603175780834227,-1.2068778429677014,-0.17043649816677325,0.9999232944002157,3.22976722125706,3095.4378616439585,3123.7741791654175,1.0000135661827387,B_bf_winsor_M0_base
Peer support group,Placebo,d[Peer support group],-2.385683651633825,4.723813406753099,-11.693726013581436,-5.489517441222388,-2.290019943722249,0.8204532159355652,6.705345176935777,4577.6408620971515,3118.542481682292,0.9998199061998323,B_bf_winsor_M0_base
Peer support group + AD,Placebo,d[Peer support group + AD],-3.032149004886136,4.506999000260157,-11.805236459836738,-6.049325251681194,-3.0061827891486566,-0.012525302834129413,5.726623043027734,4997.080026088792,3001.945995876522,1.0006963963827746,B_bf_winsor_M0_base
Problem solving group,Placebo,d[Problem solving group],-12.130469079122996,3.8626917307076813,-19.801256684421006,-14.70868606343636,-12.17777926381741,-9.508574231203486,-4.639830093428365,3973.9069731651384,2981.95810856696,1.0012626819503658,B_bf_winsor_M0_base
Problem solving individual,Placebo,d[Problem solving individual],-6.547974312787843,2.519163656380102,-11.268902236209339,-8.272323286620672,-6.573206296985054,-4.817965088603106,-1.5482824423350627,3325.824627956877,2070.7491884796004,1.0011430804585746,B_bf_winsor_M0_base
Psychoeducation group,Placebo,d[Psychoeducation group],-6.569719510330494,4.68039047041756,-15.834296886186035,-9.671343132462479,-6.584556072937802,-3.320057262146454,2.4913473738664926,5614.811581453666,3139.1803751288708,1.0014522751152701,B_bf_winsor_M0_base
Psychoeducation group + AD,Placebo,d[Psychoeducation group + AD],-1.5979977975094175,4.232367979618836,-9.75610872162946,-4.462563344149442,-1.597757787978648,1.3159593427060607,6.769019590188756,4734.41246449287,3058.722472177629,1.0013157152688972,B_bf_winsor_M0_base
Relaxation individual + AD,Placebo,d[Relaxation individual + AD],-5.098954096813863,4.170165056466687,-13.194486008858211,-7.986027573777538,-5.0812656835734265,-2.293673087390532,3.1445975828325676,6228.502210667934,3455.8655071808557,1.0001991103118268,B_bf_winsor_M0_base
Relaxation individual + placebo,Placebo,d[Relaxation individual + placebo],-0.31059399833406737,4.585955257348151,-9.447744779887811,-3.418797810296592,-0.3668691656618026,2.7360372293086783,8.734023324292416,6085.728709403472,3416.5791046700165,1.001766303365636,B_bf_winsor_M0_base
Self-help,Placebo,d[Self-help],-3.220138341990035,2.1439545490478458,-7.434695079856148,-4.673188543012089,-3.2096470962844874,-1.7984381261644036,1.0490494228563794,2347.761760906628,2706.712853582873,1.0037094440603451,B_bf_winsor_M0_base
Self-help with support,Placebo,d[Self-help with support],-3.7809826653272824,2.10183411200158,-7.814492904955525,-5.204985908845844,-3.787944496158887,-2.398961909962943,0.3716986952595971,3239.1545279662632,2670.583586462249,1.0012606023323254,B_bf_winsor_M0_base
Sham acupuncture,Placebo,d[Sham acupuncture],-0.9821991690017149,2.823051871781402,-6.575926926510151,-2.9108396249148734,-0.9060615651171259,0.9590918874524873,4.570383386064062,3771.100837790356,3273.6273572868554,1.0009539365339695,B_bf_winsor_M0_base
Short-term psychodynamic psychotherapies individual,Placebo,d[Short-term psychodynamic psychotherapies individual],-4.1398855529068,2.5463029959122223,-9.045720486788552,-5.8680809090138535,-4.148629790417942,-2.4262712608137114,0.7956127782150648,3459.4380311387267,2995.279596516353,1.0003281131417536,B_bf_winsor_M0_base
Short-term psychodynamic psychotherapies individual + AD,Placebo,d[Short-term psychodynamic psychotherapies individual + AD],-1.2348748458008862,4.052338103114303,-9.2052629847483,-3.9359676784577697,-1.2497036981428549,1.3914982108519776,6.925229974770984,2933.9254176214386,2701.4725665893848,1.0005789325179413,B_bf_winsor_M0_base
SNRIs,Placebo,d[SNRIs],-5.535578831104382,0.6141380420963947,-6.718418103795712,-5.944019338452896,-5.543668930074309,-5.127431503493926,-4.320729909530395,1044.3570139387461,1909.9236641406512,1.0010459897909971,B_bf_winsor_M0_base
SSRIs,Placebo,d[SSRIs],-4.660973691039884,0.45269330124026297,-5.57718194063825,-4.958583441703148,-4.664183566401992,-4.344949971019703,-3.791201590736912,929.5949445185222,1614.251384937262,1.0056253224323004,B_bf_winsor_M0_base
TAU,Placebo,d[TAU],-1.4502838766135664,2.117399575467011,-5.441366838596558,-2.920840903994545,-1.4614804286155132,-0.014426422935532205,2.791073008879686,3664.7306176581533,3063.7352600994977,1.0001212194401914,B_bf_winsor_M0_base
TCAs,Placebo,d[TCAs],-4.757755644512541,0.623894804890176,-5.9709380593851815,-5.1971401502875,-4.767365744947311,-4.335692864732369,-3.5204023718692348,1245.8015949499377,2193.8650974777192,1.0034568353381539,B_bf_winsor_M0_base
Trazodone,Placebo,d[Trazodone],-2.6992037948793084,1.4437426409663927,-5.551650170392463,-3.6511095671830773,-2.7098194142015473,-1.756857772749253,0.1561171662252489,2958.6633872075718,3034.4920009015605,1.0016168316720506,B_bf_winsor_M0_base
