.trtb,.trta,parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat,model
Acupuncture,Placebo,d[Acupuncture],-7.90745519505286,3.3150651405722855,-14.376783644249382,-10.078263106693552,-7.9107758702206645,-5.630744251880081,-1.517180460991704,2976.601386154802,2573.798408940004,1.0000461145160822,C_no_bin_M0_base
Acupuncture + AD,Placebo,d[Acupuncture + AD],-11.650583159213003,3.2151258649151497,-17.987919976985836,-13.783935689554992,-11.654608012237706,-9.535830577869422,-5.315846975249041,3202.589372419595,3235.730528301688,1.002270142050494,C_no_bin_M0_base
Any AD,Placebo,d[Any AD],-0.29266303088412343,2.659182319978083,-5.542735062051139,-2.1046989612172817,-0.28214103786989014,1.5318945818476122,4.906546118796545,3054.284036794609,3232.436805941945,1.0017982207473315,C_no_bin_M0_base
Any psychotherapy,Placebo,d[Any psychotherapy],1.3954839516450583,5.672115784072378,-9.70562586290618,-2.3763212318280367,1.4241168851454697,5.122200004439315,12.574683886407685,5202.285283727481,3324.7862022057284,1.0008546602217938,C_no_bin_M0_base
Attention placebo,Placebo,d[Attention placebo],5.8712677911250495,5.434967640439186,-4.748152291348934,2.2563906700937877,5.845367205972876,9.460700460996023,16.84035404487829,3790.4113513790826,3319.938328654817,1.0007867851521075,C_no_bin_M0_base
Behavioural therapies individual,Placebo,d[Behavioural therapies individual],3.180740226324697,4.124170444636032,-4.974292496773325,0.45061140584209225,3.1235704703992004,5.956028367376789,11.252449745771333,3976.7195986463585,2840.914202021274,0.9994086842680399,C_no_bin_M0_base
Behavioural therapies individual + AD,Placebo,d[Behavioural therapies individual + AD],-4.392487354655286,5.225260926782169,-14.682403707696889,-7.81831478114307,-4.3950561609300465,-0.8455216411199137,5.617455213348264,5935.515771399751,3259.315636460035,1.0009336415649597,C_no_bin_M0_base
Cognitive and cognitive behavioural therapies group,Placebo,d[Cognitive and cognitive behavioural therapies group],-4.89340296677229,3.802067007258203,-12.382294599604146,-7.4812727904113805,-4.832422583413374,-2.322557315098431,2.4865411795386043,3218.9041465491064,2529.098192826568,1.0011462645243927,C_no_bin_M0_base
Cognitive and cognitive behavioural therapies group + AD,Placebo,d[Cognitive and cognitive behavioural therapies group + AD],-2.23045412795582,5.166415541306947,-12.15907005646066,-5.7442028477689036,-2.331189891603781,1.2663837515908245,8.103683890283792,5093.976892660888,2714.6916870894556,1.0005563400520556,C_no_bin_M0_base
Cognitive and cognitive behavioural therapies individual,Placebo,d[Cognitive and cognitive behavioural therapies individual],-4.899222802058892,1.8990654195211796,-8.567718796405973,-6.198346158168384,-4.885043505889991,-3.6067003832033127,-1.2628135077230993,1547.1712162568347,2554.385765905059,1.0025107780987066,C_no_bin_M0_base
Cognitive and cognitive behavioural therapies individual + AD,Placebo,d[Cognitive and cognitive behavioural therapies individual + AD],-8.801345245820416,3.2907913250572243,-15.314441126939174,-10.982635513580345,-8.81275767447223,-6.632081797298499,-2.2456197362821944,2822.9535115673307,2961.896175439807,0.9998832239396013,C_no_bin_M0_base
Cognitive and cognitive behavioural therapies individual + placebo,Placebo,d[Cognitive and cognitive behavioural therapies individual + placebo],-6.761473066524411,4.975296580229184,-16.738109333299533,-10.032424156434562,-6.785626406820056,-3.51272186357184,2.9069373390405935,4615.061202469562,2769.2601871416555,0.9999462978165397,C_no_bin_M0_base
Counselling individual,Placebo,d[Counselling individual],-2.5751424659831206,3.740431757064764,-9.842211122950028,-5.103371541013787,-2.66646530336065,-0.06586417069103823,4.933482780719862,3051.7833708742055,2541.2280668493245,1.0010016570587255,C_no_bin_M0_base
Counselling individual + AD,Placebo,d[Counselling individual + AD],0.8292358892511895,5.5605276105594,-10.199073889213745,-2.9529976590450397,0.8334933019304884,4.583582190526849,11.987947800209001,5020.423220770559,3219.626378132464,0.9999674692920235,C_no_bin_M0_base
Counselling individual + placebo,Placebo,d[Counselling individual + placebo],2.730335967864693,7.278850336222075,-11.62552477920618,-2.0740709588750916,2.6724952787984098,7.612353687726953,16.988260342452534,7450.171455674461,3476.939995863823,1.001256132094105,C_no_bin_M0_base
Exercise group,Placebo,d[Exercise group],-4.151611654210487,4.30212764562397,-12.397059457970828,-7.0809320358158665,-4.1551122522722945,-1.1690752192145768,4.244816736313588,4109.562902213853,2910.033577659793,1.000415269438268,C_no_bin_M0_base
Exercise group + AD,Placebo,d[Exercise group + AD],-12.486038525146745,6.505656944673087,-24.942457869759224,-16.789378101944475,-12.529831451628837,-8.132187220985692,0.12881376424896512,7333.147360577691,2704.765869296262,1.0014529946011137,C_no_bin_M0_base
Exercise individual,Placebo,d[Exercise individual],-3.4082417730635743,4.058216160050549,-11.507000527476723,-6.096302656519841,-3.379014815766113,-0.6810887389424023,4.545871491203007,3553.2861514607225,2995.679467659808,1.0012105940388047,C_no_bin_M0_base
Exercise individual + AD,Placebo,d[Exercise individual + AD],-8.46902858907401,5.017710635853006,-18.48330396642121,-11.839760983413711,-8.383920362157465,-5.118409729850549,1.2983017499103848,5484.792532036276,3274.2030052883297,1.0005231257894678,C_no_bin_M0_base
Interpersonal psychotherapy (IPT) individual,Placebo,d[Interpersonal psychotherapy (IPT) individual],-2.188782239769867,4.0130507863892495,-10.231965726339912,-4.894356372152295,-2.1365467631599726,0.47291124470045687,5.9574076209772215,3387.5849795126883,2643.6357510922635,1.000633376922156,C_no_bin_M0_base
Interpersonal psychotherapy (IPT) individual + AD,Placebo,d[Interpersonal psychotherapy (IPT) individual + AD],-4.270429290670541,4.3965780295228925,-12.804283119461342,-7.226421416413624,-4.1570018510258855,-1.3504073594875536,4.2496883178328,4937.910254147028,3035.129048423201,1.0008680295404357,C_no_bin_M0_base
Interpersonal psychotherapy (IPT) individual + placebo,Placebo,d[Interpersonal psychotherapy (IPT) individual + placebo],-2.078967645779254,4.91635262793695,-11.534900747037275,-5.390820007840701,-2.194592239047208,1.259347881344517,7.506820593694559,5676.715036419404,2923.0043225035056,1.0008325440869836,C_no_bin_M0_base
Light therapy,Placebo,d[Light therapy],-4.918146437869858,5.918920169945932,-16.36468991455462,-8.97019289637262,-4.991200622716158,-0.9790310110537309,6.8639540148873825,8284.497299797387,2950.839599496848,0.999729896148587,C_no_bin_M0_base
Light therapy + AD,Placebo,d[Light therapy + AD],-8.63190718436461,4.746264518455929,-17.923665657778756,-11.757551704970872,-8.57641185625545,-5.462837300418463,0.5398037892138583,5919.4139309383045,2947.1461926837155,1.0003039962078082,C_no_bin_M0_base
Mindfulness or meditation group,Placebo,d[Mindfulness or meditation group],-18.340865574204564,6.893366170942165,-31.803835388347625,-23.086184354410875,-18.269931010352714,-13.539462667860445,-5.179905453266399,7064.5999742515005,3264.2397344623673,1.0057819956324179,C_no_bin_M0_base
Mirtazapine,Placebo,d[Mirtazapine],-7.064783243452099,1.9563685544482647,-10.856102080535253,-8.363717105133553,-7.095022871033901,-5.7888690583829625,-3.162146604766665,1333.8102358340134,1904.3240407983712,1.0005755792137234,C_no_bin_M0_base
Music therapy group,Placebo,d[Music therapy group],-1.340333878018401,6.654776864032125,-14.267864884575049,-6.011273674490381,-1.3804575985123448,3.3375945389173984,11.658939802035329,6563.336711629062,2938.8494485713904,1.002226271413619,C_no_bin_M0_base
No treatment,Placebo,d[No treatment],1.7884246201299203,2.676369670077936,-3.4402226660167003,0.02817575971915786,1.8003747906139331,3.6003804381651925,6.886539385379627,2684.126111706526,2981.5994543343263,1.0005251884730773,C_no_bin_M0_base
Peer support group,Placebo,d[Peer support group],-1.985815905367079,6.207111478645971,-14.131060442443927,-6.206001055131725,-1.9598364322150161,2.3051537233013932,10.026153376493815,6066.862057084764,3311.0313604749654,1.0031827828032962,C_no_bin_M0_base
Peer support group + AD,Placebo,d[Peer support group + AD],-2.6448605629065627,6.276487867207044,-14.878658073538718,-6.94534872910452,-2.6668193820700656,1.7253339032171662,9.77155421631718,6959.3431809926615,3245.6761277123405,0.999870694121066,C_no_bin_M0_base
Problem solving group,Placebo,d[Problem solving group],-12.238243924179917,5.533083973331154,-22.950391437496126,-16.063163609276412,-12.263226987887801,-8.63485343878475,-1.3769340390967186,5114.775288073474,3112.6191611593285,1.000118856843502,C_no_bin_M0_base
Problem solving individual,Placebo,d[Problem solving individual],-5.444841978587942,3.810173613985789,-13.02714686247528,-7.986261892765828,-5.47665914899245,-2.8381396374341543,2.1141699163107055,2846.2811686868104,2722.9319210268186,1.0001080924309582,C_no_bin_M0_base
