studyid,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any,full_reference
003-008 (FDA),CFB,US,6,39,65,HAMD,25.77,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0,http://digitalcommons.ohsu.edu/fdadrug/20/
29060 07 001,CFB,US,6,43.2,58,HAMD,29.73,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,http://www.gsk-clinicalstudyregister.com/study/29060/07/001#rs
29060/299,CFB,Europe,8,40.4,NA,HAMD,27.84,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,https://www.gsk-clinicalstudyregister.com/study/29060/299#rs
Aguglia 1993,BF,Italy,8,58.2,75,MADRS,33.17,7.84,High risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,2,1,0,1,2,1,"Aguglia E, Casacchia M, Cassano GB, Faravelli C, Ferrari G, Giordano P, Pancheri P, Ravizza L, Trabucchi M, Bolino F, Scarpato A. Double-blind study of the efficacy and safety of sertraline versus fluoxetine in major depression. International Clinical Psychopharmacology. 1993."
Ai 2018,BF,China,6,20.2,55,HAMD,31.81,5.31,Low risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,0,1,2,0,0,1,"Ai CQ, Wang QB, Wang X, Wang Y, Chen SM, Chen X. Therapeutic observation of cranial suture acupuncture in treating depression. Journal of Acupuncture and Tuina Science. 2018 Jun 1;16(3):161-6."
Akhondzadeh 2003,CFB,Iran,6,35.8,40,NR,NA,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,1,1,0,1,1,0,"Akhondzadeh S, Faraji H, Sadeghi M, Afkham K, Fakhrzadeh H, Kamalipour A. Double‐blind comparison of fluoxetine and nortriptyline in the treatment of moderate to severe major depression. Journal of clinical pharmacy and therapeutics. 2003 Oct;28(5):379-84."
Albornoz 2011,BF,Venezuela,12,NA,0,HAMD,19.580000000000002,6.23,Unclear risk,Low risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,0,2,1,0,1,Albornoz Y. The effects of group improvisational music therapy on depression in adolescents and adults with substance abuse: a randomized controlled trial. Nordic Journal of Music Therapy. 2011 Oct 1;20(3):208-24.
Alexopoulos 2003b,BF,US,12,74.1,52,HAMD,24.65,4.58,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Low risk,1,1,2,1,0,1,"Alexopoulos GS, Raue P, Areán P. Problem-solving therapy versus supportive therapy in geriatric major depression with executive dysfunction. The American journal of geriatric psychiatry. 2003 Jan 1;11(1):46-52."
Allard 2004,BF,Sweden & Denmark,22,73,80,MADRS,27.3,3.6,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Allard P, Gram L, Timdahl K, Behnke K, Hanson M, Søgaard J. Efficacy and tolerability of venlafaxine in geriatric outpatients with major depression: a double‐blind, randomised 6‐month comparative trial with citalopram. International journal of geriatric psychiatry. 2004 Dec;19(12):1123-30."
Allen 2006,BIN,US,8,41.2,69,HAMD,22.31,4.66,Low risk,Unclear risk,High risk,Low risk,Low risk,High risk,High risk,0,1,2,0,0,1,"Allen JJ, Schnyer RN, Chambers AS, Hitt SK, Moreno FA, Manber R. Acupuncture for depression: a randomized controlled trial. Journal of Clinical Psychiatry. 2006 Nov 1;67(11):1665-73."
