Cuijpers Appendix E Study,Cuijpers Full Reference,mmc3 Excluded Study ID,mmc3 Reason for Exclusion
"A-Tjak, 2018","A-Tjak JGL, Morina N, Topper M, Emmelkamp PMG. A Randomized Controlled Trial in Routine Clinical Practice Comparing Acceptance and Commitment Therapy with Cognitive Behavioral Therapy for the Treatment of Major Depressive Disorder. Psychotherapy and psychosomatics 2018",A-Tjak 2018,Population: <80% first-line treatment
"Aagaard, 2017","Aagaard, J., Foldager, L., Makki, A., Hansen, V., & M¸ller-Nielsen, K. (2017). The efficacy of psychoeducation on recurrent depression: a randomized trial with a 2-year follow-up. Nord J Psychiatry, 71(3), 223-229.",Aagaard 2017,Population: <80% first-line treatment
"Ayen, 2004","Ayen I, Hautzinger M. Cognitive behavior therapy for depression in menopausal women. A controlled, randomized treatment study. Zeitschrift fur Klinische Psychologie und Psychotherapie. 2004;33(4):290-9.",Ayen 2004,Non-English language paper
"Barber, 2012","Barber JP, Barrett MS, Gallop R, Rynn MA, Rickels K. Short-term dynamic psychotherapy versus pharmacotherapy for major depressive disorder: A randomized, placebo-controlled trial. Journal of Clinical Psychiatry. 2012;73(1):66-73.",Barber 2012/Zilcha-Mano 2014,Population: >20% have coexisting personality disorder
"Barnhofer, 2009","Barnhofer T, Crane C, Hargus E, Amarasinghe M, Winder R, Williams JM. Mindfulness-based cognitive therapy as a treatment for chronic depression: A preliminary study. Behaviour Research and Therapy. 2009;47(5):366-73.",Barnhofer 2009,Population: <80% non-chronic depression
"Barrett, 2001","Barrett JE, Williams Jr JW, Oxman TE, Frank E, Katon W, Sullivan M, et al. Treatment of dysthymia and minor depression in primary care: A randomized trial in patients aged 18 to 59 years. Journal of Family Practice. 2001;50(5):405-12.",Barrett 2001,Population: <80% non-chronic depression
"Berger, 2011","Berger T, Hämmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66.",Berger 2011,Population: <80% first-line treatment
"Bodenmann, 2008","Bodenmann G, Plancherel B, Beach SR, Widmer K, Gabriel B, Meuwly N, et al. Effects of coping-oriented couples therapy on depression: A randomized clinical trial. Journal of Consulting and Clinical Psychology. 2008;76(6):944-54.",Bodenmann 2008,Population: <80% non-chronic depression
"Bolton, 2003","Bolton P, Bass J, Neugebauer R, Verdeli H, Clougherty KF, Wickramaratne P, et al. Group interpersonal psychotherapy for depression in rural Uganda: A randomized controlled trial. JAMA. 2003;289(23):3117-24.",Bolton 2003/Bass 2006,Baseline severity cannot be categorised
"Bright, 1999","Bright JI, Baker KD, Neimeyer RA. Professional and paraprofessional group treatments for depression: a comparison of cognitive-behavioral and mutual support interventions. Journal of Consulting and Clinical Psychology. 1999;67(4):491-501.",Bright 1999,Population: <80% first-line treatment
"Brown, 1984","Brown RA, Lewinsohn PM. A psychoeducational approach to the treatment of depression: Comparison of group, individual, and minimal contact procedures. Journal of Consulting and Clinical Psychology. 1984;52(5):774.",Brown 1984,Population: <80% first-line treatment
"Carr, 2017","Carr, A., Finnegan, L., Griffin, E., Cotter, P., & Hyland, A. (2017). A Randomized Controlled Trial of the Say Yes to Life (SYTL) Positive Psychology Group Psychotherapy Program for Depression: An Interim Report. Journal of Contemporary Psychotherapy, 47(3), 153-161.",Carr 2017,Population: <80% first-line treatment
"Carta, 2012","Carta MG, Petretto D, Adamo S, Bhat KM, Lecca ME, Mura G, et al. Counseling in primary care improves depression and quality of life. Clinical Practice and Epidemiology in Mental Health. 2012;8.",Carta 2012,Population: <80% non-chronic depression
"Carter, 2013","Carter JD, McIntosh VV, Jordan J, Porter RJ, Frampton CM, Joyce PR. Psychotherapy for depression: A randomized clinical trial comparing schema therapy and cognitive behavior therapy. Journal of Affective Disorders. 2013;151(2):500-5.",Carter 2013,Population: >20% have coexisting personality disorder
"Casanas, 2012","Casanas R, Catalan R, del Val JL, Real J, Valero S, Casas M. Effectiveness of a psycho-educational group program for major depression in primary care: A randomized controlled trial. BMC psychiatry. 2012;12:230.",Casañas 2012,Population: <80% first-line treatment
"Castonguay, 2004","Castonguay LG, Schut AJ, Aikens DE, Constantino MJ, Laurenceau J-P, Bologh L, et al. Integrative cognitive therapy for depression: A preliminary investigation. Journal of Psychotherapy Integration. 2004;14(1):4-20.",Castonguay 2004,Design: Non-RCT
"Chan, 2012","Chan AS, Wong QY, Sze SL, Kwong PP, Han YM, Cheung MC. A Chinese Chan-based mind-body intervention for patients with depression. Journal of Affective Disorders. 2012;142(1-3):283-9.",Chan 2012a,Population: Further-line treatment
"Chan, 2013","Chan MF, Ng SE, Tien A, Man Ho RC, Thayala J. A randomised controlled study to explore the effect of life story review on depression in older Chinese in Singapore. Health and Social Care in the Community. 2013;21(5):545-53.",Chan 2013,Intervention: Psychological intervention not of interest
"Chiang, 2015","Chiang KJ, Chen TH, Hsieh HT, Tsai JC, Ou KL, Chou KR. One-year follow-up of the effectiveness of cognitive behavioral group therapy for patients' depression: A randomized, single-blinded, controlled study. Scientific World Journal. 2015;2015:Article ID 373149.",Chiang 2015,Population: <80% first-line treatment
"Cho, 2008","Cho HJ, Kwon JH, Lee JJ. Antenatal cognitive-behavioral therapy for prevention of postpartum depression: A pilot study. Yonsei medical journal. 2008;49(4):553-62.",Cho 2008,Population: Antenatal or postnatal depression
"Chowdhary, 2016","Chowdhary N, Anand A, Dimidjian S, Shinde S, Weobong B, Balaji M, et al. The Healthy Activity Program lay counsellor delivered treatment for severe depression in India: Systematic development and randomised evaluation. British Journal of Psychiatry. 2016;208(4):381-8.",Chowdhary 2016,Baseline severity cannot be categorised
"Choy, 2016","Choy JC, Lou VW. Effectiveness of the modified instrumental reminiscence intervention on psychological well-being among community-dwelling chinese older adults: A randomized controlled trial. American Journal of Geriatric Psychiatry. 2016;24(1):60-9.",Choy 2016,Intervention: Psychological intervention not of interest
"Collado, 2016","Collado, A., Calderón, M., MacPherson, L., & Lejuez, C. (2016). The efficacy of behavioral activation treatment among depressed Spanish-speaking Latinos. Journal of Consulting and Clinical Psychology, 84(7), 651-657.",Collado 2016a,Population: <80% non-chronic depression
"Cooper, 2003","Cooper PJ, Murray L, Wilson A, Romaniuk H. Controlled trial of the short- and long-term effect of psychological treatment of post-partum depression. I. Impact on maternal mood. The British Journal of Psychiatry. 2003;182(5):412-9.",Cooper 2003,Population: Antenatal or postnatal depression
"Cramer, 2011","Cramer H, Salisbury C, Conrad J, Eldred J, Araya R. Group cognitive behavioural therapy for women with depression: Pilot and feasibility study for a randomised controlled trial using mixed methods. BMC psychiatry. 2011;11:82.",Cramer 2011,Population: <80% first-line treatment
"DeRubeis, 2005","DeRubeis RJ, Hollon SD, Amsterdam JD, Shelton RC, Young PR, Salomon RM, et al. Cognitive therapy vs medications in the treatment of moderate to severe depression. Archives of General Psychiatry. 2005;62(4):409-16.",DeRubeis 2005,Population: <80% non-chronic depression
"Dekker, 2012","Dekker RL, Moser DK, Peden AR, Lennie TA. Cognitive therapy improves three-month outcomes in hospitalized patients with heart failure. Journal of cardiac failure. 2012;18(1):10-20.",Dekker 2012,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Delgadillo, 2015","Delgadillo J, Gore S, Ali S, et al. Feasibility randomized controlled trial of cognitive and behavioral interventions for depression symptoms in patients accessing drug and alcohol treatment.",Delgadillo 2015,Population: <80% first-line treatment
"Dimidjian, 2006","Dimidjian S, Hollon SD, Dobson KS, Schmaling KB, Kohlenberg RJ, Addis ME, et al. Randomized trial of behavioral activation, cognitive therapy, and antidepressant medication in the acute treatment of adults with major depression. Journal of Consulting and Clinical Psychology. 2006;74(4):658-70.",Dimidjian 2006,Population: <80% non-chronic depression
