Cuijpers Appendix E Study,Cuijpers Appendix E Study (raw),Cuijpers Full Reference,Present in mmc3 MS depression-included studies
"A-Tjak, 2018","A-Tjak, 2018","A-Tjak JGL, Morina N, Topper M, Emmelkamp PMG. A Randomized Controlled Trial in Routine Clinical Practice Comparing Acceptance and Commitment Therapy with Cognitive Behavioral Therapy for the Treatment of Major Depressive Disorder. Psychotherapy and psychosomatics 2018",False
"Aagaard, 2017","Aagaard, 2017","Aagaard, J., Foldager, L., Makki, A., Hansen, V., & M¸ller-Nielsen, K. (2017). The efficacy of psychoeducation on recurrent depression: a randomized trial with a 2-year follow-up. Nord J Psychiatry, 71(3), 223-229.",False
"Abas, 2018","Abas, 2018","Abas M, Nyamayaro P, Bere T, et al. Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa. AIDS and Behavior 2018; 22(1): 86-101.",False
"Ahmadpanah, 2016","Ahmadpanah, 2016","Ahmadpanah, M., Paghale, S. J., Bakhtyari, A., Kaikhavani, S., Aghaei, E., Nazaribadie, M., . . . Brand, S. (2016). Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension.",False
"Allart-Van, 2003","Allart, 2003","Allart-Van Dam E, Hosman CMH, Hoogduin CAL, Schaap CPDR. The coping with depression course: Short-term outcomes and mediating effects of a randomized controlled trial in the treatment of subclinical depression. Behavior Therapy. 2003;34(3):381-96.",False
"Arean, 2010","Arean, 2010","Arean PA, Raue P, Mackin RS, Kanellopoulos D, McCulloch C, Alexopoulos GS. Problem-solving therapy and supportive therapy in older adults with major depression and executive dysfunction. American Journal of Psychiatry. 2010;167(11):1391-8.",False
"Ayen, 2004","Ayen, 2004","Ayen I, Hautzinger M. Cognitive behavior therapy for depression in menopausal women. A controlled, randomized treatment study. Zeitschrift fur Klinische Psychologie und Psychotherapie. 2004;33(4):290-9.",False
"Barber, 2012","Barber, 2012","Barber JP, Barrett MS, Gallop R, Rynn MA, Rickels K. Short-term dynamic psychotherapy versus pharmacotherapy for major depressive disorder: A randomized, placebo-controlled trial. Journal of Clinical Psychiatry. 2012;73(1):66-73.",False
"Barnhofer, 2009","Barnhofer, 2009","Barnhofer T, Crane C, Hargus E, Amarasinghe M, Winder R, Williams JM. Mindfulness-based cognitive therapy as a treatment for chronic depression: A preliminary study. Behaviour Research and Therapy. 2009;47(5):366-73.",False
"Barrett, 2001","Barret, 2001","Barrett JE, Williams Jr JW, Oxman TE, Frank E, Katon W, Sullivan M, et al. Treatment of dysthymia and minor depression in primary care: A randomized trial in patients aged 18 to 59 years. Journal of Family Practice. 2001;50(5):405-12.",False
"Bedard, 2014","Bedard, 2014","Bedard M, Felteau M, Marshall S, Cullen N, Gibbons C, Dubois S, et al. Mindfulness-based cognitive therapy reduces symptoms of depression in people with a traumatic brain injury: Results from a randomized controlled trial. Journal of Head Trauma Rehabilitation. 2014;29(4):E13-E22.",False
"Beeber, 2010","Beeber, 2010","Beeber LS, Holditch-Davis D, Perreira K, Schwartz TA, Lewis V, Blanchard H, et al. Short-term in-home intervention reduces depressive symptoms in Early Head Start Latina mothers of infants and toddlers. Research in Nursing and Health. 2010;33(1):60-76.",False
"Berger, 2011","Berger, 2011","Berger T, Hämmerli K, Gubser N, Andersson G, Caspar F. Internet-based treatment of depression: A randomized controlled trial comparing guided with unguided self-help. Cognitive Behaviour Therapy. 2011;40(4):251-66.",False
"Berger, 2017","Berger, 2017","Berger, T., Krieger, T., Sude, K., Meyer, B., & Maercker, A. (2017). Evaluating an e-mental health program (""deprexis"") as adjunctive treatment tool in psychotherapy for depression: results of a pragmatic randomized controlled trial. Journal of Affective Disorders, 227, 455-462.",False
"Beutel, 2014","Beutel, 2014","Beutel ME, Weissflog G, Leuteritz K, Wiltink J, Haselbacher A, Ruckes C, et al. Efficacy of short-term psychodynamic psychotherapy (STPP) with depressed breast cancer patients: Results of a randomized controlled multicenter trial. Annals of Oncology. 2014;25(2):378-84.",False
"Blanco, 2018","Blanco, 2018","Blanco C, Markowitz JC, Hellerstein DJ, et al. A randomized trial of interpersonal psychotherapy, problem solving therapy, and supportive therapy for major depressive disorder in women with breast cancer. Breast cancer research and treatment 2018",False
"Bodenmann, 2008","Bodenmann, 2008","Bodenmann G, Plancherel B, Beach SR, Widmer K, Gabriel B, Meuwly N, et al. Effects of coping-oriented couples therapy on depression: A randomized clinical trial. Journal of Consulting and Clinical Psychology. 2008;76(6):944-54.",False
"Boele, 2018","Boele, 2018","Boele FW, Klein M, Verdonck-de Leeuw IM, et al. Internet-based guided self-help for glioma patients with depressive symptoms: a randomized controlled trial. Journal of neuro-oncology 2018; 137(1): 191‐203.",False
"Boeschoten, 2017","Boeschoten, 2017","Boeschoten, R. E., Dekker, J., Uitdehaag, B. M. J., Beekman, A. T. F., Hoogendoorn, A. W., Collette, E. H., . . . Van Oppen, P. (2017). Internet-based treatment for depression in multiple sclerosis: A randomized controlled trial. Multiple Sclerosis, 23(8), 1112-1122.",False
"Bohlmeijer, 2011","Bohlmeijer, 2011","Bohlmeijer ET, Fledderus M, Rokx TA, Pieterse ME. Efficacy of an early intervention based on acceptance and commitment therapy for adults with depressive symptomatology: Evaluation in a randomized controlled trial. Behaviour research and therapy. 2011;49(1):62-7.",False
"Bolton, 2003","Bolton, 2003","Bolton P, Bass J, Neugebauer R, Verdeli H, Clougherty KF, Wickramaratne P, et al. Group interpersonal psychotherapy for depression in rural Uganda: A randomized controlled trial. JAMA. 2003;289(23):3117-24.",False
"Bright, 1999","Bright, 1999","Bright JI, Baker KD, Neimeyer RA. Professional and paraprofessional group treatments for depression: a comparison of cognitive-behavioral and mutual support interventions. Journal of Consulting and Clinical Psychology. 1999;67(4):491-501.",False
"Brown, 1984","Brown, 1984","Brown RA, Lewinsohn PM. A psychoeducational approach to the treatment of depression: Comparison of group, individual, and minimal contact procedures. Journal of Consulting and Clinical Psychology. 1984;52(5):774.",False
"Buhrman, 2014","Buhrman, 2015","Buhrman M, Syk M, Burvall O, Hartig T, Gordh T, Andersson G. Individualized Guided Internet-delivered Cognitive Behaviour Therapy for Chronic Pain Patients with Comorbid Depression and Anxiety: A Randomized Controlled Trial. Clinical Journal of Pain 2014.",False
"Burns, 2013","Burns, 2013","Burns A, O'Mahen H, Baxter H, Bennert K, Wiles N, Ramchandani P, et al. A pilot randomised controlled trial of cognitive behavioural therapy for antenatal depression. BMC psychiatry. 2013;13:33.",False
"Carlbring, 2013","Carlbring, 2013","Carlbring P, Hagglund M, Luthstrom A, Dahlin M, Kadowaki A, Vernmark K, et al. Internet-based behavioral activation and acceptance-based treatment for depression: A randomized controlled trial. Journal of Affective Disorders. 2013;148(2-3):331-7.",False
"Carr, 2017","Carr, 2017","Carr, A., Finnegan, L., Griffin, E., Cotter, P., & Hyland, A. (2017). A Randomized Controlled Trial of the Say Yes to Life (SYTL) Positive Psychology Group Psychotherapy Program for Depression: An Interim Report. Journal of Contemporary Psychotherapy, 47(3), 153-161.",False
"Carta, 2012","Carta, 2012","Carta MG, Petretto D, Adamo S, Bhat KM, Lecca ME, Mura G, et al. Counseling in primary care improves depression and quality of life. Clinical Practice and Epidemiology in Mental Health. 2012;8.",False
"Carter, 2013","Carter, 2013","Carter JD, McIntosh VV, Jordan J, Porter RJ, Frampton CM, Joyce PR. Psychotherapy for depression: A randomized clinical trial comparing schema therapy and cognitive behavior therapy. Journal of Affective Disorders. 2013;151(2):500-5.",False
"Casanas, 2012","Casanas, 2012","Casanas R, Catalan R, del Val JL, Real J, Valero S, Casas M. Effectiveness of a psycho-educational group program for major depression in primary care: A randomized controlled trial. BMC psychiatry. 2012;12:230.",False
"Castonguay, 2004","Castonguay, 2004","Castonguay LG, Schut AJ, Aikens DE, Constantino MJ, Laurenceau J-P, Bologh L, et al. Integrative cognitive therapy for depression: A preliminary investigation. Journal of Psychotherapy Integration. 2004;14(1):4-20.",False
"Chan, 2012","Chan, 2012","Chan AS, Wong QY, Sze SL, Kwong PP, Han YM, Cheung MC. A Chinese Chan-based mind-body intervention for patients with depression. Journal of Affective Disorders. 2012;142(1-3):283-9.",False
"Chan, 2013","Chan, 2013","Chan MF, Ng SE, Tien A, Man Ho RC, Thayala J. A randomised controlled study to explore the effect of life story review on depression in older Chinese in Singapore. Health and Social Care in the Community. 2013;21(5):545-53.",False
"Chen, 2000","Chen, 2000","Chen CH, Tseng YF, Chou FH, Wang SY. Effects of support group intervention in postnatally distressed women. A controlled study in Taiwan. Journal of psychosomatic research. 2000;49(6):395-9.",False
"Chiang, 2015","Chiang, 2015","Chiang KJ, Chen TH, Hsieh HT, Tsai JC, Ou KL, Chou KR. One-year follow-up of the effectiveness of cognitive behavioral group therapy for patients' depression: A randomized, single-blinded, controlled study. Scientific World Journal. 2015;2015:Article ID 373149.",False
"Cho, 2008","Cho, 2008","Cho HJ, Kwon JH, Lee JJ. Antenatal cognitive-behavioral therapy for prevention of postpartum depression: A pilot study. Yonsei medical journal. 2008;49(4):553-62.",False
"Chowdhary, 2016","Chowdhary, 2016","Chowdhary N, Anand A, Dimidjian S, Shinde S, Weobong B, Balaji M, et al. The Healthy Activity Program lay counsellor delivered treatment for severe depression in India: Systematic development and randomised evaluation. British Journal of Psychiatry. 2016;208(4):381-8.",False
"Choy, 2016","Choy, 2016","Choy JC, Lou VW. Effectiveness of the modified instrumental reminiscence intervention on psychological well-being among community-dwelling chinese older adults: A randomized controlled trial. American Journal of Geriatric Psychiatry. 2016;24(1):60-9.",False
"Clark, 2003","Clark, 2003","Clark R, Tluczek A, Wenzel A. Psychotherapy for postpartum depression: A preliminary report. American Journal of Orthopsychiatry. 2003;73(4):441-54.",False
"Collado, 2016","Collado, 2016","Collado, A., Calderón, M., MacPherson, L., & Lejuez, C. (2016). The efficacy of behavioral activation treatment among depressed Spanish-speaking Latinos. Journal of Consulting and Clinical Psychology, 84(7), 651-657.",False
"Cooper, 2003","Cooper, 2003","Cooper PJ, Murray L, Wilson A, Romaniuk H. Controlled trial of the short- and long-term effect of psychological treatment of post-partum depression. I. Impact on maternal mood. The British Journal of Psychiatry. 2003;182(5):412-9.",False
"Cramer, 2011","Cramer, 2011","Cramer H, Salisbury C, Conrad J, Eldred J, Araya R. Group cognitive behavioural therapy for women with depression: Pilot and feasibility study for a randomised controlled trial using mixed methods. BMC psychiatry. 2011;11:82.",False
"De, 2018","De Jong, 2018","De Jong M, Peeters F, Gard T, et al. A randomized controlled pilot study on mindfulness-based cognitive therapy for unipolar depression in patients with chronic pain. Journal of clinical psychiatry 2018; 79(1): 26‐34.",False
"De, 2019","De Groot, 2019","De Groot, M., Shubrook, J. H., Hornsby, W. G., Pillay, Y., Mather, K. J., Fitzpatrick, K., . . . Saha, C. (2019). Program ACTIVE II: Outcomes from a randomized, multistate community-based depression treatment for rural and urban adults with type 2 diabetes. Diabetes care, 42(7), 1185-1193. doi:10.2337/dc18-2400",False
"DeRubeis, 2005","DeRubeis, 2005","DeRubeis RJ, Hollon SD, Amsterdam JD, Shelton RC, Young PR, Salomon RM, et al. Cognitive therapy vs medications in the treatment of moderate to severe depression. Archives of General Psychiatry. 2005;62(4):409-16.",False
"Dekker, 2012","Dekker, 2012","Dekker RL, Moser DK, Peden AR, Lennie TA. Cognitive therapy improves three-month outcomes in hospitalized patients with heart failure. Journal of cardiac failure. 2012;18(1):10-20.",False
"Delgadillo, 2015","Delgadillo, 2015","Delgadillo J, Gore S, Ali S, et al. Feasibility randomized controlled trial of cognitive and behavioral interventions for depression symptoms in patients accessing drug and alcohol treatment.",False
"Desautels, 2017","Desautels, 2017","Desautels, C., Savard, J., Ivers, H., Savard, M. H., & Caplette-Gingras, A. (2017). Treatment of Depressive Symptoms in Patients with Breast Cancer: A Randomized Controlled Trial Comparing Cognitive Therapy and Bright Light Therapy. Health Psychology.",False
"Dimidjian, 2006","Dimidjian, 2006","Dimidjian S, Hollon SD, Dobson KS, Schmaling KB, Kohlenberg RJ, Addis ME, et al. Randomized trial of behavioral activation, cognitive therapy, and antidepressant medication in the acute treatment of adults with major depression. Journal of Consulting and Clinical Psychology. 2006;74(4):658-70.",False
"Dimidjian, 2017","Dimidjian, 2017","Dimidjian, S., Goodman, S., Sherwood, N., Simon, G., Ludman, E., Gallop, R., . . . Beck, A. (2017). A Pragmatic Randomized Clinical Trial of Behavioral Activation for Depressed Pregnant Women. Journal of Consulting and Clinical Psychology, 85(1), 26-36",False
"Dobkin, 2011","Dobkin, 2011","Dobkin RD, Menza M, Allen LA, Gara MA, Mark MH, Tiu J, et al. Cognitive-behavioral therapy for depression in Parkinson's disease: A randomized, controlled trial. American Journal of Psychiatry. 2011;168(10):1066-74.",False
"Doering, 2013","Doering, 2013","Doering LV, Chen B, Cross Bodan R, Magsarili MC, Nyamathi A, Irwin MR. Early cognitive behavioral therapy for depression after cardiac surgery. Journal of Cardiovascular Nursing. 2013;28(4):370-9.",False
"Dong, 2019","Dong, 2019","Dong, X., Sun, G., Zhan, J., Liu, F., Ma, S., Li, P., . . . Liu, Y. (2019). Telephone-based reminiscence therapy for colorectal cancer patients undergoing postoperative chemotherapy complicated with depression: a three-arm randomised controlled trial. Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer, 27(8), 2761-2769. doi:10.1007/s00520-018-4566-6",False
"Dowrick, 2000","Dowrick, 2000","Dowrick C, Dunn G, Ayuso-Mateos JL, Dalgard OS, Page H, Lehtinen V. Problem solving treatment and group psychoeducation for depression: Multicentre randomised controlled trial Outcomes of Depression International Network [ODIN] Group. BMJ. 2000;321(7274):1450-4.",False
"Driessen, 2013","Driessen, 2013","Driessen E, Van HL, Don FJ, Peen J, Kool S, Westra D, et al. The efficacy of cognitive-behavioral therapy and psychodynamic therapy in the outpatient treatment of major depression: A randomized clinical trial. American Journal of Psychiatry. 2013;170(9):1041-50.",False
"Duarte, 2009","Duarte, 2009","Duarte PS, Miyazaki MC, Blay SL, Sesso R. Cognitive-behavioral group therapy is an effective treatment for major depression in hemodialysis patients. Kidney international. 2009;76(4):414-21.",False
"Dwight-Johnson, 2011","Dwight-Johnson, 2011","Dwight-Johnson M, Aisenberg E, Golinelli D, Hong S, O'Brien M, Ludman E. Telephone-based cognitive-behavioral therapy for Latino patients living in rural areas: A randomized pilot study. Psychiatric Services. 2011;62(8):936-42.",False
"Ebert, 2014","Ebert, 2014","Ebert, Scand J Work Environm Health 2014",False
"Ekeblad, 2016","Ekeblad, 2016","Ekeblad, A., Falkenström, F., Andersson, G., Vestberg, R., & Holmqvist, R. (2016). Randomized trial of interpersonal psychotherapy and cognitive behavioral therapy for major depressive disorder in a community‐based psychiatric outpatient clinic. Depress Anxiety, 33(12), 1090-1098.",False
"Ekers, 2011","Ekers, 2011","Ekers D, Richards D, McMillan D, Bland JM, Gilbody S. Behavioural activation delivered by the non-specialist: Phase II randomised controlled trial. The British Journal of Psychiatry. 2011;198(1):66-72.",False
"Ekkers, 2011","Ekkers, 2011","Ekkers W, Korrelboom K, Huijbrechts I, Smits N, Cuijpers P, Gaag M. Competitive memory training for treating depression and rumination in depressed older adults: A randomized controlled trial. Behaviour Research and Therapy. 2011;49(10):588-96.",False
"Embling, 2002","Embling, 2002",Embling S. The effectiveness of cognitive behavioural therapy in depression. Nursing Standard. 2002;17(14-15):33-41.,False
"Eseadi, 2018","Eseadi, 2018","Eseadi C, Obidoa MA, Ogbuabor SE, Ikechukwu-Ilomuanya AB. Effects of Group-Focused Cognitive-Behavioral Coaching Program on Depressive Symptoms in a Sample of Inmates in a Nigerian Prison. International journal of offender therapy and comparative criminology 2018; 62(6): 1589-602.",False
"Euteneuer, 2017","Euteneuer, 2017","Euteneuer, F., Dannehl, K., Del Rey, A., Engler, H., Schedlowski, M., & Rief, W. (2017). Immunological effects of behavioral activation with exercise in major depression: An exploratory randomized controlled trial. Translational Psychiatry, 7(5).",False
"Evans, 1995","Evans, 1995","Evans RL, Connis RT. Comparison of brief group therapies for depressed cancer patients receiving radiation treatment. Public Health Reports. 1995;110(3):306-11.",False
"Fann, 2015","Fann, 2015","Fann JR, Bombardier CH, Vannoy S, Dyer J, Ludman E, Dikmen S, et al. Telephone and in-person cognitive behavioral therapy for major depression after traumatic brain injury: A randomized controlled trial. Journal of neurotrauma. 2015;32(1):45-57.",False
"Faramarzi, 2008","Faramarzi, 2008","Faramarzi M, Alipor A, Esmaelzadeh S, Kheirkhah F, Poladi K, Pash H. Treatment of depression and anxiety in infertile women: Cognitive behavioral therapy versus fluoxetine. Journal of Affective Disorders. 2008;108(1-2):159-64.",False
"Fledderus, 2012","Fledderus, 2012","Fledderus M, Bohlmeijer ET, Pieterse ME, Schreurs KM. Acceptance and commitment therapy as guided self-help for psychological distress and positive mental health: A randomized controlled trial. Psychological Medicine. 2012;42(3):485-95.",False
"Floyd, 2004","Floyd, 2004","Floyd M, Scogin F, McKendree-Smith NL, Floyd DL, Rokke PD. Cognitive therapy for depression: A comparison of individual psychotherapy and bibliotherapy for depressed older adults. Behavior modification. 2004;28(2):297-318.",False
"Folke, 2012","Folke, 2012","Folke F, Parling T, Melin L. Acceptance and commitment therapy for depression: A preliminary randomized clinical trial for unemployed on long-term sick leave. Cognitive and Behavioral Practice. 2012;19(4):583-94.",False
"Fonagy, 2015","Fonagy, 2015","Fonagy P, Rost F, Carlyle JA, McPherson S, Thomas R, Pasco Fearon RM, et al. Pragmatic randomized controlled trial of long-term psychoanalytic psychotherapy for treatment-resistant depression: The Tavistock Adult Depression Study (TADS). World Psychiatry. 2015;14(3):312-21.",False
"Forand, 2017","Forand, 2017","Forand, N., Barnett, J., Strunk, D., Hindiyeh, M., Feinberg, J., & Keefe, J. (2017). Efficacy of Guided iCBT for Depression and Mediation of Change by Cognitive Skill Acquisition. Behavior Therapy, (no pagination).",False
"Forsell, 2017","Forsell, 2017","Forsell E, Bendix M, Holländare F, et al. Internet delivered cognitive behavior therapy for antenatal depression: A randomised controlled trial. Journal of Affective Disorders 2017; 221: 56-64.",False
"Freedland, 2009","Freedland, 2009","Freedland KE, Skala JA, Carney RM, Rubin EH, Lustman PJ, D·vila-Rom·n VG, et al. Treatment of depression after coronary artery bypass surgery: A randomized controlled trial. Archives of General Psychiatry. 2009;66(4):387-96.",False
"Freedland, 2015","Freedland, 2015","Freedland KE, Carney RM, Rich MW, Steinmeyer BC, Rubin EH. Cognitive behavior therapy for depression and self-care in heart failure patients: A randomized clinical trial. JAMA Internal Medicine. 2015;175(11):1773-82.",False
"Freire, 2015","Freire, 2015","Freire E, Williams C, Messow C-M, Cooper M, Elliott R, McConnachie A, et al. Counselling versus low-intensity cognitive behavioural therapy for persistent sub-threshold and mild depression (CLICD): A pilot/feasibility randomised controlled trial. BMC psychiatry. 2015;15.",False
"Fuhr, 2019","Fuhr, 2019","Fuhr, D. C., Weobong, B., Lazarus, A., Vanobberghen, F., Weiss, H. A., Singla, D. R., . . . Patel, V. (2019). Delivering the Thinking Healthy Programme for perinatal depression through peers: An individually randomised controlled trial in India. The Lancet Psychiatry, 6(2), 115-127. doi:10.1016/S2215-0366(18)30466-8",False
"Furukawa, 2012","Furukawa, 2012","Furukawa TA, Horikoshi M, Kawakami N, Kadota M, Sasaki M, Sekiya Y, et al. Telephone cognitive-behavioral therapy for subthreshold depression and presenteeism in workplace: A randomized controlled trial. PLoS One. 2012;7(4):e35330.",False
"Garc, 2015","Garcia-Pena, 2015","García-Peña C, Vázquez-Estupiñan F, Avalos-Pérez F, Jiménez LVR, Sánchez-Garcia S, Juárez-Cedillo T. Clinical effectiveness of group cognitive-behavioural therapy for depressed older people in primary care: A randomised controlled trial. Salud Mental. 2015;38(1):33-9.",False
"Gawrysiak, 2009","Gawrysiak, 2009","Gawrysiak M, Nicholas C, Hopko DR. Behavioral activation for moderately depressed university students: Randomized controlled trial. Journal of Counseling Psychology. 2009;56(3):468-75.",False
"Gellis, 2008","Gellis, 2008","Gellis ZD, McGinty J, Tierney L, Jordan C, Burton J, Misener E. Randomized controlled trial of problem-solving therapy for minor depression in home care. Research on Social Work Practice. 2008;18(6):596-606.",False
"Gellis, 2010","Gellis, 2010","Gellis ZD, Bruce ML. Problem solving therapy for subthreshold depression in home healthcare patients with cardiovascular disease. The American Journal of Geriatric Psychiatry. 2010;18(6):464-74.",False
"Geraedts, 2014","Geraedts, 2014","Geraedts AS, Kleiboer AM, Wiezer NM, van Mechelen W, Cuijpers P. Short-term effects of a web-based guided self-help intervention for employees with depressive symptoms: Randomized controlled trial. Journal of Medical Internet Research. 2014;16(5):e121.",False
"Gibbons, 2012","Gibbons, 2012","Gibbons MB, Thompson SM, Scott K, Schauble LA, Mooney T, Thompson D, et al. Supportive-expressive dynamic psychotherapy in the community mental health system: A pilot effectiveness trial for the treatment of depression. Psychotherapy (Chicago, Ill). 2012;49(3):303-16.",False
"Greenberg, 2018","Greenberg, 2018","Greenberg J, Datta T, Shapero BG, Sevinc G, Mischoulon D, Lazar SW. Compassionate hearts protect against wandering minds: Self-compassion moderates the effect of mind-wandering on depression. Spirituality in Clinical Practice 2018; 5(3): 155-69.",False
"Grote, 2009","Grote, 2009","Grote NK, Swartz HA, Geibel SL, Zuckoff A, Houck PR, Frank E. A randomized controlled trial of culturally relevant, brief interpersonal psychotherapy for perinatal depression. Psychiatric Services. 2009;60(3):313-21.",False
"Hagen, 2017","Hagen, 2017","Hagen, R., Hjemdal, O., Solem, S., Kennair, L. E. O., Nordahl, H. M., Fisher, P., & Wells, A. (2017). Metacognitive therapy for depression in adults: A waiting list randomized controlled trial with six months follow-up. Frontiers in Psychology, 8.",False
"Hallford, 2016","Hallford, 2016","Hallford DJ, Mellor D. Autobiographical memory-based intervention for depressive symptoms in young adults: A randomized controlled trial of cognitive-reminiscence therapy. Psychotherapy and Psychosomatics. 2016;85(4):246-9.",False
"Hallgren, 2015","Hallgren, 2015","Hallgren M, Kraepelien M, Öjehagen A, Lindefors N, Zeebari Z, Kaldo V, et al. Physical exercise and internet-based cognitive-behavioural therapy in the treatment of depression: Randomised controlled trial. British Journal of Psychiatry. 2015;207(3):227-34.",False
"Haringsma, 2006","Haringsma, 2005","Haringsma R, Engels G, Cuijpers P, Spinhoven P. Effectiveness of the Coping With Depression (CWD) course for older adults provided by the community-based mental health care system in the Netherlands: A randomized controlled field trial. International Psychogeriatrics. 2006;18(02):307-25.",False
